towers,bet,condition,iti,corr_choice,corr_key,difficulty,block_start,trial_start,stim_on,acc,trial_end,rt,part_choice,part_key,confidence,block_end,updated_score
stim_set/hard-570.png,none.png,unmotivated,2.25,stand,right,hard,,477.69744399999945,482.76656150000053,incorrect,486.1778657499999,,,,,,
stim_set/hard-49.png,none.png,unmotivated,2.25,stand,right,hard,,486.1786380419999,490.1997914170006,correct,495.03555895799946,3.963615917000425,stand,right,4,,
stim_set/easy-vcom=1-145.png,none.png,unmotivated,3.75,fall,left,easy,,495.03613058300107,498.47483354200085,correct,504.48804333299995,3.384389500000907,fall,left,3,,
stim_set/hard-599.png,none.png,unmotivated,3.0,stand,right,hard,,504.4886019170008,508.26654725000117,incorrect,513.5300979580006,3.732451833000596,fall,left,2,,
stim_set/hard-vcom=2-147.png,none.png,unmotivated,2.5,fall,left,hard,,513.5307251670001,518.5915839170011,incorrect,522.2824481250009,,,,,,
stim_set/hard-vcom=3-82.png,none.png,unmotivated,2.25,fall,left,hard,,522.2829919579999,527.3514625830012,incorrect,530.736345917001,,,,,,
stim_set/hard-vcom=4-75.png,none.png,unmotivated,2.5,fall,left,hard,,530.7370187920005,534.659693167001,incorrect,539.4204304169998,3.8721888330001093,stand,right,3,,
stim_set/hard-14.png,none.png,unmotivated,3.25,stand,right,hard,,539.4209934999999,543.6249981670007,incorrect,549.2188910830009,4.157765083000413,fall,left,2,,
stim_set/easy-vcom=1-73.png,none.png,unmotivated,2.5,fall,left,easy,,549.2194190829996,551.6850868750007,incorrect,556.4849923330003,2.4243099159994017,stand,right,3,,
stim_set/easy-vcom=3-142.png,none.png,unmotivated,2.75,fall,left,easy,,556.4855685000002,559.9083196669999,incorrect,564.9350818750008,3.367739541999981,stand,right,2,,
stim_set/easy-vcom=2-147.png,none.png,unmotivated,3.25,fall,left,easy,,564.9356370000005,567.6003368750007,correct,573.1866281250004,2.6102048749999085,fall,left,2,,
stim_set/easy-vcom=3-15.png,none.png,unmotivated,2.25,fall,left,easy,,573.1874927919998,574.9000460830011,incorrect,579.4584940420009,1.6595331250009622,stand,right,3,,
stim_set/hard-vcom=3-7.png,none.png,unmotivated,2.75,fall,left,hard,,579.4590652919997,582.7850078330011,incorrect,587.7904827080001,3.278897833000883,stand,right,2,,
stim_set/hard-182.png,none.png,unmotivated,4.0,stand,right,hard,,587.7910059580008,590.100013833,incorrect,596.3127142499998,2.2628277910007455,fall,left,3,,
stim_set/hard-vcom=1-130.png,none.png,unmotivated,2.25,fall,left,hard,,596.3133494579997,598.859755458001,incorrect,603.450434458,2.499972583998897,stand,right,2,,
stim_set/hard-vcom=3-110.png,none.png,unmotivated,3.0,fall,left,hard,,603.4510896669999,606.0931960420003,correct,611.3695992080011,2.600924209000368,fall,left,3,,
stim_set/hard-82.png,none.png,unmotivated,3.75,stand,right,hard,,611.3702358330011,614.2683685000011,correct,620.6234556670006,2.8485245000010764,stand,right,2,,
stim_set/hard-vcom=1-95.png,none.png,unmotivated,2.0,fall,left,hard,,620.6240230830008,624.8436234580004,incorrect,629.2016563750003,4.172299666999606,stand,right,3,,
stim_set/easy-vcom=1-12.png,none.png,unmotivated,2.0,fall,left,easy,,629.2021979580004,632.5417824169999,correct,636.6330115000001,3.2846264580002753,fall,left,2,,
stim_set/hard-132.png,none.png,unmotivated,3.75,stand,right,hard,,636.6336652919999,640.3351673329998,correct,646.3833972920002,3.654218708999906,stand,right,3,,
stim_set/hard-40.png,none.png,unmotivated,3.0,stand,right,hard,,646.3839055419994,651.4500792500003,incorrect,655.9189309169997,,,,,,
stim_set/hard-280.png,none.png,unmotivated,2.25,stand,right,hard,,655.919548875001,659.4585137920003,incorrect,663.8439884170002,3.4824650420014223,fall,left,2,,
stim_set/easy-vcom=4-126.png,none.png,unmotivated,2.5,fall,left,easy,,663.8448030830004,667.166806833,incorrect,671.9901598329998,3.2651229580005747,stand,right,3,,
stim_set/hard-402.png,none.png,unmotivated,2.5,stand,right,hard,,671.9906934579994,674.1185144579995,correct,681.0393837920001,2.077373959000397,stand,right,3,,
stim_set/hard-vcom=4-139.png,none.png,unmotivated,4.0,fall,left,hard,,681.0399321250006,685.4332737080003,incorrect,692.1382039580003,4.341435375001311,stand,right,3,692.1385404169996,
stim_set/easy-vcom=3-74.png,fall.png,cooperation,2.25,fall,left,easy,,,,,,,,,,,
stim_set/hard-566.png,stand.png,cooperation,3.25,stand,right,hard,,,,,,,,,,,
stim_set/hard-49.png,fall.png,cooperation,3.0,stand,right,hard,,,,,,,,,,,
stim_set/hard-vcom=3-110.png,fall.png,cooperation,2.0,fall,left,hard,,,,,,,,,,,
stim_set/hard-367.png,stand.png,cooperation,3.75,stand,right,hard,,,,,,,,,,,
stim_set/hard-vcom=2-100.png,stand.png,cooperation,4.0,fall,left,hard,,,,,,,,,,,
stim_set/hard-391.png,stand.png,cooperation,2.75,stand,right,hard,,,,,,,,,,,
stim_set/hard-600.png,stand.png,cooperation,3.0,stand,right,hard,,,,,,,,,,,
stim_set/easy-vcom=1-87.png,fall.png,cooperation,2.5,fall,left,easy,,,,,,,,,,,
stim_set/hard-492.png,stand.png,cooperation,2.25,stand,right,hard,,,,,,,,,,,
stim_set/hard-vcom=4-147.png,stand.png,cooperation,3.25,fall,left,hard,,,,,,,,,,,
stim_set/hard-vcom=1-136.png,stand.png,cooperation,2.75,fall,left,hard,,,,,,,,,,,
stim_set/hard-vcom=1-130.png,fall.png,cooperation,2.5,fall,left,hard,,,,,,,,,,,
stim_set/easy-vcom=2-20.png,fall.png,cooperation,4.0,fall,left,easy,,,,,,,,,,,
stim_set/hard-177.png,stand.png,cooperation,2.0,stand,right,hard,,,,,,,,,,,
stim_set/hard-78.png,stand.png,cooperation,2.25,stand,right,hard,,,,,,,,,,,
stim_set/hard-564.png,fall.png,cooperation,2.25,stand,right,hard,,,,,,,,,,,
stim_set/hard-402.png,stand.png,cooperation,3.75,stand,right,hard,,,,,,,,,,,
stim_set/easy-vcom=2-147.png,stand.png,cooperation,3.0,fall,left,easy,,,,,,,,,,,
