batch_type,motivation,towers,trial_start,stim_on,choice,key,trial_end,acc,rt,score
stable,stand,stim_set/hard-vcom=1-130.png,109.11185662500066,112.56434487500519,stand,left,115.58030458400026,correct,3.458116166999389,
stable,stand,stim_set/easy-vcom=1-87.png,115.62665554200066,119.14119049999863,fall,right,122.1625983749982,incorrect,3.5247697080048965,
stable,stand,stim_set/hard-vcom=3-82.png,122.20735637500184,123.45605266700295,stand,left,126.4726132920041,correct,1.2545953750013723,
stable,stand,stim_set/hard-492.png,126.51640608400339,128.66434841700539,stand,left,131.68069591699896,correct,2.1537832079993677,
stable,stand,stim_set/easy-8.png,131.72093616700295,133.23251962500217,fall,right,136.2547142090043,correct,1.5233347499961383,
stable,fall,stim_set/easy-122.png,153.6622151670017,156.18934416700358,fall,right,159.2055114169998,incorrect,2.5330938330007484,
stable,fall,stim_set/hard-369.png,159.2418647500017,162.9244290839997,stand,left,165.9454783750043,incorrect,3.69320841699664,
stable,fall,stim_set/hard-vcom=1-130.png,165.98695550000411,168.416331542001,fall,right,171.43725462500151,incorrect,2.4398354169970844,
stable,fall,stim_set/hard-vcom=3-143.png,171.47876683399954,173.15609929199854,fall,right,176.17240329200285,incorrect,1.683065124998393,
stable,fall,stim_set/hard-vcom=3-145.png,176.20851912500075,178.541118000001,fall,right,181.56244504200004,correct,2.3433612920052838,
stable,fall,stim_set/easy-344.png,181.6035472500007,183.7061833340049,fall,right,186.72192783400533,correct,2.108167999998841,
stable,fall,stim_set/easy-228.png,186.75782379200245,188.13086154199846,fall,right,191.1474374590034,correct,1.3789979170032893,
stable,fall,stim_set/easy-239.png,191.19155537500046,192.86435383400385,fall,right,195.88053904200206,correct,1.678879290993791,
stable,fall,stim_set/easy-vcom=1-87.png,195.9256859169982,198.61604425000405,fall,right,201.6372887500038,incorrect,2.701051333002397,
stable,fall,stim_set/hard-vcom=2-100.png,201.68002400000114,202.83103449999908,stand,left,205.84732233400428,correct,1.1566489589968114,
stable,fall,stim_set/hard-599.png,205.88319154200144,208.1561588340046,stand,left,211.17261783400318,correct,2.278532875003293,
stable,fall,stim_set/hard-410.png,211.21877508400212,212.57279004200245,stand,left,215.58908870899904,incorrect,1.3600110420011333,
stable,fall,stim_set/hard-vcom=4-132.png,215.62949225000193,218.39139158400212,fall,right,221.41315258399845,incorrect,2.7728763749983045,
stable,fall,stim_set/easy-195.png,221.4549159590024,222.89079820900224,fall,right,225.91230016700138,correct,1.4473213340024813,
stable,fall,stim_set/easy-vcom=3-121.png,225.95700729200325,227.96633750000183,fall,right,230.98768525000196,correct,2.0197829579992685,
stable,fall,stim_set/hard-492.png,231.03128729200398,232.71581554200384,stand,left,235.7379917090002,correct,1.6961387920018751,
stable,fall,stim_set/hard-vcom=3-82.png,235.78253312499874,236.874170916999,stand,left,239.89551512500475,correct,1.1025976250020904,
stable,fall,stim_set/hard-vcom=1-95.png,239.9370815000002,243.22281104200374,stand,left,246.2390461670002,correct,3.291381208997336,
stable,fall,stim_set/hard-214.png,246.28506566700526,247.8992108340026,stand,left,250.92083758400258,correct,1.6252177089991164,
stable,fall,stim_set/easy-11.png,250.96301562499866,252.83938987500005,fall,right,255.85519979200035,correct,1.8818630839959951,
stable,fall,stim_set/easy-8.png,255.89528970899846,257.57283091700083,fall,right,260.5894295840044,correct,1.6836927499971353,
stable,fall,stim_set/easy-vcom=3-106.png,260.6314252500015,262.389530542001,stand,left,265.4062625840015,correct,1.7641495839998242,
stable,fall,stim_set/easy-233.png,265.45253100000264,266.981100584002,fall,right,269.99653466699965,correct,1.5338933750026627,
stable,fall,stim_set/hard-576.png,270.03248179200455,273.8145279590026,fall,right,276.83020925000164,incorrect,3.787277458999597,
stable,fall,stim_set/hard-vcom=4-23.png,276.87276037500123,279.3978779590034,stand,left,282.41334279200237,correct,2.5305644999971264,
unstable,NA,stim_set/hard-439.png,296.48835570899973,299.2745342089984,fall,right,302.2959715840043,correct,2.7973652919972665,
unstable,NA,stim_set/hard-vcom=2-144.png,302.3339327920039,304.04137395900034,stand,left,307.0631102920015,incorrect,1.718079291000322,
unstable,NA,stim_set/easy-vcom=1-145.png,307.1090982090027,308.2145773750017,stand,left,311.2311217919996,correct,1.1116617079969728,
unstable,NA,stim_set/easy-121.png,311.2793822500025,313.7162525840031,fall,right,316.7377308750001,incorrect,2.4483979159995215,
unstable,NA,stim_set/hard-388.png,316.77643979200366,318.24123341700033,stand,left,321.2622178340025,correct,1.4753796250006417,
unstable,NA,stim_set/hard-552.png,321.3083403339988,324.1155907499997,stand,left,327.13800783400075,correct,2.818797125000856,
unstable,NA,stim_set/easy-vcom=4-19.png,327.18516758400074,330.01455091700336,fall,right,333.0310624170015,correct,2.8353234589958447,
unstable,NA,stim_set/easy-13.png,333.07938679200015,334.93133987500187,fall,right,337.94759666699974,correct,1.8578613749996293,
unstable,NA,stim_set/hard-82.png,337.9940729170048,339.9328539170019,fall,right,342.9540160000033,incorrect,1.9500418340030592,
unstable,NA,stim_set/hard-590.png,343.0002734590016,344.19978975000413,fall,right,347.2206732090053,correct,1.2099920839973493,
unstable,NA,stim_set/hard-442.png,347.26901550000184,350.04783316700195,fall,right,353.0640070840018,incorrect,2.784387500003504,
unstable,NA,stim_set/hard-345.png,353.1084130840027,355.0063486670042,fall,right,358.0220809590028,correct,1.903464040995459,
unstable,NA,stim_set/hard-vcom=1-5.png,358.06558187500195,360.3492277090045,fall,right,363.3703573340026,incorrect,2.2950733749967185,
unstable,NA,stim_set/hard-vcom=3-100.png,363.4140986670027,365.81457087500166,fall,right,368.83057437500247,correct,2.4065413329954026,
unstable,NA,stim_set/hard-371.png,368.8682884170048,372.1228092500023,stand,left,375.1394222090021,correct,3.2606811250007013,
unstable,NA,stim_set/hard-271.png,375.1868400000021,377.0247432920005,stand,left,380.0459276670008,correct,1.8485069169983035,
unstable,NA,stim_set/hard-21.png,380.08905824999965,382.98958812500496,fall,right,386.0055239170033,incorrect,2.906266957994376,
unstable,NA,stim_set/hard-382.png,386.04307741700177,388.7480687499992,fall,right,391.7638620840007,incorrect,2.7103078329964774,
unstable,NA,stim_set/easy-vcom=4-4.png,391.80732266700215,393.1812548750022,fall,right,396.1972194170012,correct,1.3797069169959286,
unstable,NA,stim_set/hard-2.png,396.24311104200024,400.49765283400484,fall,right,403.5144813750012,incorrect,4.2601687499991385,
unstable,NA,stim_set/hard-vcom=2-20.png,403.5623087499989,404.79093979200115,stand,left,407.812793709003,correct,1.2399799159975373,
unstable,NA,stim_set/hard-432.png,407.8603696670034,409.4496307090012,fall,right,412.4709637499982,correct,1.5998739579954417,
unstable,NA,stim_set/hard-556.png,412.5135998340047,415.3493371670047,stand,left,418.3711190000031,correct,2.8466952500020852,
unstable,NA,stim_set/easy-vcom=3-136.png,418.41245220899873,421.0646755839989,fall,right,424.081291167,incorrect,2.658628957993642,
unstable,NA,stim_set/easy-77.png,424.1249161250016,425.78312866700435,fall,right,428.8040456669987,correct,1.66891570900043,
