batch_type,motivation,towers,trial_start,stim_on,choice,acc,rt,key,trial_end,score
stable,NA,stim_set/hard-vcom=4-132.png,97.77633979101665,98.88715804100502,fall,incorrect,1.1218901670072228,right,101.90844070800813,
stable,NA,stim_set/hard-vcom=1-130.png,101.95145491600852,103.27745091600809,stand,correct,1.3321689589938615,left,106.29370775001007,
stable,NA,stim_set/easy-vcom=3-106.png,106.33767666600761,107.62119466601871,stand,correct,1.2942003329808358,left,110.6422402500175,
stable,NA,stim_set/hard-369.png,110.67975112501881,111.87747000000672,stand,incorrect,1.2039037909999024,left,114.8936144580075,
stable,stand,stim_set/easy-20.png,122.4204169580189,123.9191208750126,fall,correct,1.503274208982475,right,126.93560875000549,
stable,stand,stim_set/easy-vcom=3-142.png,126.98158312501619,128.84615212501376,stand,correct,1.8758341250068042,left,131.86731212501763,
stable,stand,stim_set/hard-vcom=2-45.png,131.90467279101722,133.26089620802668,fall,correct,1.3623780419875402,right,136.27723237502505,
stable,stand,stim_set/hard-474.png,136.32073879102245,137.29420970802312,fall,correct,0.9790504589909688,right,140.3100479580171,
stable,stand,stim_set/hard-40.png,140.3561585410207,141.53583975002402,stand,correct,1.1853227919782512,left,144.55200133300968,
stable,stand,stim_set/easy-vcom=3-125.png,144.60021333300392,146.2109273330134,fall,incorrect,1.6159132499888074,right,149.22697858299944,
stable,stand,stim_set/easy-vcom=4-69.png,149.27384833301767,150.63562779102358,fall,correct,1.3676073329988867,right,153.6518653750245,
stable,stand,stim_set/hard-451.png,153.69781695801066,154.77742491601384,fall,correct,1.085500791989034,right,157.79330762501922,
stable,stand,stim_set/easy-vcom=4-126.png,157.8413552910206,159.60442504100502,stand,incorrect,1.774108499987051,left,162.62597770802677,
stable,stand,stim_set/hard-570.png,162.67335458300659,163.9273943330045,stand,correct,1.2601326669973787,left,166.94410562500707,
stable,stand,stim_set/easy-280.png,166.9876967080054,168.29397979102214,fall,correct,1.312084417004371,right,171.30990562500665,
stable,stand,stim_set/hard-vcom=4-45.png,171.35529858301743,172.71209508299944,fall,correct,1.3682991250243504,right,175.7336235830153,
stable,stand,stim_set/easy-vcom=1-73.png,175.77088766600355,177.46093137501157,stand,correct,1.6957589579978958,left,180.47658520800178,
stable,stand,stim_set/easy-31.png,180.5217847500171,181.7040629160183,fall,incorrect,1.1932988750049844,right,184.72539620799944,
stable,stand,stim_set/hard-367.png,184.76928100001533,187.1375751660089,fall,incorrect,2.378940791997593,right,190.15850962500554,
stable,stand,stim_set/hard-vcom=2-16.png,190.20681400000467,191.43587837502128,stand,correct,1.2353162500075996,left,194.45257808300084,
stable,stand,stim_set/hard-vcom=4-67.png,194.49642525002128,196.15437154102256,fall,correct,1.668635916983476,right,199.17494191601872,
stable,stand,stim_set/easy-538.png,199.21699945800356,200.5191477080225,fall,correct,1.307501165982103,right,203.5347538330243,
stable,stand,stim_set/easy-63.png,203.5778962080076,204.81233375001466,fall,correct,1.2452242500148714,right,207.83365000001504,
stable,stand,stim_set/easy-vcom=1-83.png,207.87092862502323,209.22956704100943,stand,correct,1.3694219999888446,left,212.2502752500004,
stable,stand,stim_set/hard-563.png,212.29884220802342,213.77747958301916,stand,correct,1.4842702920141164,left,216.7936719999998,
stable,stand,stim_set/hard-vcom=4-130.png,216.83743537502596,218.83588104101364,fall,correct,2.0036671249836218,right,221.85240520801744,
stable,stand,stim_set/hard-vcom=1-3.png,221.8967187910166,223.29420437500812,stand,correct,1.403704333002679,left,226.31061745801708,
stable,stand,stim_set/easy-590.png,226.35862441602512,227.86080545801087,fall,correct,1.5072797079919837,right,230.87732650002,
stable,stand,stim_set/easy-vcom=2-3.png,230.92300675000297,232.53780841600383,fall,correct,1.6259176669991575,right,235.5587170830113,
unstable,fall,stim_set/hard-439.png,241.93934541600174,243.79620358301327,fall,correct,1.8662456249876413,right,246.8170952500077,
unstable,fall,stim_set/hard-vcom=3-100.png,246.85869541601278,248.56087554100668,stand,incorrect,1.7084806249768008,left,251.57732483302243,
unstable,fall,stim_set/hard-271.png,251.62244895801996,252.8376376250235,stand,correct,1.2256756249989849,left,255.85873695800547,
unstable,fall,stim_set/hard-82.png,255.90353554100147,257.2962667500251,stand,correct,1.4029668339935597,left,260.31695683300495,
unstable,fall,stim_set/hard-2.png,260.361483708024,262.2959605830256,stand,correct,1.9452447920048144,left,265.31712641601916,
unstable,fall,stim_set/hard-vcom=2-144.png,265.3533622500254,266.58759887501947,stand,incorrect,1.2448469170194585,left,269.6083718330192,
unstable,fall,stim_set/hard-388.png,269.6444635410153,270.9295905410254,stand,correct,1.2954051659908146,left,273.950675583008,
unstable,fall,stim_set/easy-vcom=1-145.png,273.994691541011,275.14417445802246,stand,correct,1.1559185000078287,left,278.16087858300307,
unstable,fall,stim_set/hard-552.png,278.20513045802363,280.0859302080062,stand,correct,1.8864490409905557,left,283.10184004102484,
unstable,fall,stim_set/easy-vcom=4-19.png,283.14784537500236,285.9022445830051,fall,correct,2.760448707995238,right,288.91871812500176,
unstable,fall,stim_set/hard-vcom=2-20.png,288.9644595000136,290.20443108302425,stand,correct,1.2508483339915983,left,293.2261565000226,
unstable,fall,stim_set/hard-vcom=1-5.png,293.26800129102776,294.98794641601853,stand,correct,1.730148292001104,left,298.0083250000025,
unstable,fall,stim_set/easy-vcom=4-4.png,298.05044166601147,299.3691887500172,fall,correct,1.3245853330008686,right,302.3852742910094,
unstable,fall,stim_set/hard-590.png,302.43013350002,304.5874872910208,fall,correct,2.168267166998703,right,307.6084804580023,
unstable,fall,stim_set/hard-21.png,307.64997208301793,309.50223554100376,stand,correct,1.859028250008123,left,312.51941679100855,
unstable,fall,stim_set/easy-121.png,312.5660971250036,313.84421250000014,fall,incorrect,1.2838776249845978,right,316.8601653330261,
unstable,fall,stim_set/hard-556.png,316.9011899160105,318.38589254100225,stand,correct,1.4909022089850623,left,321.4026011250098,
unstable,fall,stim_set/hard-345.png,321.44431550000445,322.76920304101077,fall,correct,1.330533624975942,right,325.7850691660133,
unstable,fall,stim_set/hard-442.png,325.83183512502,327.51929341600044,stand,correct,1.693158999987645,left,330.5353144580149,
unstable,fall,stim_set/easy-13.png,330.5818445830082,332.0193788750039,fall,correct,1.4426849170122296,right,335.0348382910015,
unstable,fall,stim_set/easy-77.png,335.0769692080212,336.7626483750064,fall,correct,1.6968077920028009,right,339.7841492500156,
unstable,fall,stim_set/easy-vcom=3-136.png,339.8237205830228,341.8026368750143,fall,incorrect,1.9845967910077889,right,344.8188766660169,
unstable,fall,stim_set/hard-382.png,344.85499025002355,345.9022823750274,stand,correct,1.053644958010409,left,348.9188600410125,
unstable,fall,stim_set/hard-432.png,348.9648621250235,350.00456562501495,fall,correct,1.0505425829906017,right,353.0258457910095,
unstable,fall,stim_set/hard-371.png,353.0617722910247,355.36094833302195,stand,correct,2.304821333993459,left,358.37697916600155,
unstable,stand,stim_set/easy-13.png,3.2652180420118384,4.787274333008099,fall,correct,1.5268297500151675,right,7.803284082998289,
unstable,stand,stim_set/hard-442.png,7.849630457989406,9.397961999988183,stand,correct,1.5585920410230756,left,12.418393208005,
unstable,stand,stim_set/hard-271.png,12.46383395799785,14.605799999990268,stand,correct,2.1526907499937806,left,17.62686637500883,
unstable,stand,stim_set/hard-21.png,17.668520667008124,18.955376208003145,stand,correct,1.298131249990547,left,21.977226832997985,
unstable,stand,stim_set/easy-121.png,22.024314208014403,23.263703542004805,fall,incorrect,1.2505591249791905,right,26.285470708011417,
unstable,stand,stim_set/easy-vcom=3-136.png,26.32547933299793,27.622273832996143,fall,incorrect,1.3077294999966398,right,30.64310304200626,
unstable,stand,stim_set/hard-439.png,30.685540375008713,32.022341333009535,stand,incorrect,1.3473715420113876,left,35.04314275001525,
unstable,stand,stim_set/hard-vcom=3-100.png,35.0848121670133,36.47042541700648,stand,incorrect,1.392003749992,left,39.48686879200977,
