towers,bet,condition,iti,corr_choice,corr_key,difficulty,block_start,trial_start,stim_on,acc,rt,part_choice,part_key,confidence,trial_end,block_end,updated_score,condition_first,cue_on
stim_set/easy-77.png,fall.png,cooperation,2.5,stand,right,easy,,120.18171808400075,126.96524874999886,correct,1.7435723329981556,stand,right,5,132.31033687500167,,,,121.19196158400155
stim_set/easy-538.png,stand.png,cooperation,2.5,stand,right,easy,,132.3109365840064,138.33177504201012,correct,0.9819530000095256,stand,right,5,143.2062235839985,,,,133.32146695900883
stim_set/hard-vcom=3-34.png,fall.png,cooperation,3.25,fall,left,hard,,143.20677262500976,149.56502733399975,correct,1.3133419999940088,fall,left,5,155.3169257499976,,,,144.21723283400934
stim_set/hard-vcom=4-139.png,stand.png,cooperation,2.75,fall,left,hard,,155.31747700000415,163.9900005840027,correct,3.6330486250080867,fall,left,4,169.2654978339997,,,,156.32809412499773
stim_set/easy-13.png,fall.png,cooperation,3.25,stand,right,easy,,169.2660736250109,175.74824870900193,correct,1.4382681669958401,stand,right,5,181.31733770899882,,,,170.27631600000313
stim_set/hard-280.png,stand.png,cooperation,3.25,stand,right,hard,,181.3178818340093,189.39152904201183,correct,3.0346711250022054,stand,right,5,195.17977179199806,,,,182.32834395900136
stim_set/hard-599.png,fall.png,cooperation,2.0,stand,right,hard,,195.1805033749988,202.05788966700493,incorrect,1.8483508749923203,fall,left,4,207.19531762500992,,,,196.191328084009
stim_set/hard-402.png,fall.png,cooperation,3.75,stand,right,hard,,207.19588470899907,213.15845045899914,incorrect,0.923913459002506,fall,left,5,219.30406920899986,,,,208.20659816700208
stim_set/easy-vcom=2-147.png,fall.png,cooperation,3.0,fall,left,easy,,219.3046461250051,225.40645504200074,correct,1.060168625001097,fall,left,5,231.00211245899845,,,,220.3151375840098
stim_set/hard-2.png,stand.png,cooperation,3.25,stand,right,hard,,231.0027626670053,237.64154287500423,correct,1.600775041995803,stand,right,4,243.70896879200882,,,,232.0139343339979
stim_set/hard-566.png,fall.png,cooperation,3.25,stand,right,hard,,243.70951454200258,249.6897726669995,incorrect,0.9362616669968702,fall,left,5,256.1660743340035,,,,244.7193202089984
stim_set/easy-590.png,fall.png,cooperation,4.0,stand,right,easy,,256.16667975000746,262.44798887500656,correct,1.2365923749894137,stand,right,5,268.94603750000533,,,,257.1771211669984
stim_set/easy-vcom=4-126.png,stand.png,cooperation,2.5,fall,left,easy,,268.9466510839993,274.9980743750057,incorrect,1.0068312500079628,stand,right,5,279.91873925000255,,,,269.95720783399884
stim_set/easy-vcom=2-94.png,stand.png,cooperation,4.0,fall,left,easy,,279.919271250008,287.60837483400246,incorrect,2.653699292000965,stand,right,3,294.6897488340037,,,,280.9297762089991
stim_set/hard-vcom=2-147.png,fall.png,cooperation,2.5,fall,left,hard,,294.69056329200976,301.1394692920003,correct,1.4150877500069328,fall,left,5,306.4064313340059,,,,295.70127366700035
stim_set/easy-411.png,stand.png,cooperation,2.0,stand,right,easy,,306.40697275000275,312.399618209005,correct,0.9525282079994213,stand,right,5,316.88134737500513,,,,307.41826229200524
